artist;album;album_release_date;album_ranking;n_tracks;track;track_duration (s)
Grupo Niche;Cielo De Tambores;1988;20;14;Busca Por Dentro;354
Hector Lavoe;Comedia;1978-01-01;21;7;El Cantante;627
Hector Lavoe;Comedia;1978-01-01;21;7;Comedia;211
Hector Lavoe;Comedia;1978-01-01;21;7;La Verdad;333
Hector Lavoe;Comedia;1978-01-01;21;7;Tiempos Pasados;269
Hector Lavoe;Comedia;1978-01-01;21;7;Bandolera;575
Hector Lavoe;Comedia;1978-01-01;21;7;Porque Te Conocí?;290
Hector Lavoe;Comedia;1978-01-01;21;7;Songoro Cosongo;470
Irakere;Irakere;2014-02-18;22;8;Chequere son;412
Irakere;Irakere;2014-02-18;22;8;38 1/2;316
Irakere;Irakere;2014-02-18;22;8;En nosotros;267
Irakere;Irakere;2014-02-18;22;8;Juana 1600;358
Irakere;Irakere;2014-02-18;22;8;Moja el pan;235
Irakere;Irakere;2014-02-18;22;8;Este camino largo;409
Irakere;Irakere;2014-02-18;22;8;Xiomara Mayoral-Xiomara;336
Irakere;Irakere;2014-02-18;22;8;Iya;342
Joan Manuel Serrat;Mediterráneo;1971;23;10;Mediterraneo;205
Joan Manuel Serrat;Mediterráneo;1971;23;10;Aquellas Pequeñas Cosas;110
Joan Manuel Serrat;Mediterráneo;1971;23;10;La Mujer Que Yo Quiero;229
Joan Manuel Serrat;Mediterráneo;1971;23;10;Pueblo Blanco;289
Joan Manuel Serrat;Mediterráneo;1971;23;10;Tio Alberto;201
Joan Manuel Serrat;Mediterráneo;1971;23;10;Que Va a Ser de Ti;278
Joan Manuel Serrat;Mediterráneo;1971;23;10;Lucia;184
Joan Manuel Serrat;Mediterráneo;1971;23;10;Vagabundear;158
Joan Manuel Serrat;Mediterráneo;1971;23;10;Barquito de Papel;178
Joan Manuel Serrat;Mediterráneo;1971;23;10;Vencidos;200
Joan Sebastian;Secreto De Amor;2000-04-05;24;10;Secreto De Amor;273
Joan Sebastian;Secreto De Amor;2000-04-05;24;10;Amorcito Mío;178
Joan Sebastian;Secreto De Amor;2000-04-05;24;10;Con Besos;166
Joan Sebastian;Secreto De Amor;2000-04-05;24;10;Un Idiota;199
Joan Sebastian;Secreto De Amor;2000-04-05;24;10;Rima;193
Joan Sebastian;Secreto De Amor;2000-04-05;24;10;El Toro;196
Joan Sebastian;Secreto De Amor;2000-04-05;24;10;Me Gustas;208
Joan Sebastian;Secreto De Amor;2000-04-05;24;10;Anoche Hablamos;210
Joan Sebastian;Secreto De Amor;2000-04-05;24;10;Un Vaquero En La Ciudad;206
Joan Sebastian;Secreto De Amor;2000-04-05;24;10;Julián;203
Joaquín Sabina;19 Dias Y 500 Noches;1999-08-10;25;13;Ahora Que...;409
Joaquín Sabina;19 Dias Y 500 Noches;1999-08-10;25;13;19 Dias y 500 Noches;284
Joaquín Sabina;19 Dias Y 500 Noches;1999-08-10;25;13;Barbi Superestar;397
Joaquín Sabina;19 Dias Y 500 Noches;1999-08-10;25;13;Una Canción para la Magdalena;254
Joaquín Sabina;19 Dias Y 500 Noches;1999-08-10;25;13;Dieguitos y Mafaldas;335
Joaquín Sabina;19 Dias Y 500 Noches;1999-08-10;25;13;A Mis Cuarenta y Diez;431
Joaquín Sabina;19 Dias Y 500 Noches;1999-08-10;25;13;El Caso de la Rubia Platino;290
Joaquín Sabina;19 Dias Y 500 Noches;1999-08-10;25;13;Donde Habita el Olvido;211
Joaquín Sabina;19 Dias Y 500 Noches;1999-08-10;25;13;Cerrado por Derribo;276
Joaquín Sabina;19 Dias Y 500 Noches;1999-08-10;25;13;Pero Qué Hermosas Eran;448
Joaquín Sabina;19 Dias Y 500 Noches;1999-08-10;25;13;De Purísima y Oro;291
Joaquín Sabina;19 Dias Y 500 Noches;1999-08-10;25;13;"Como Te Digo una ""Co"" Te Digo la ""O""";521
Joaquín Sabina;19 Dias Y 500 Noches;1999-08-10;25;13;Noches de Boda;283
José José;Secretos;1985-07-15;26;10;Lo Dudo;220
José José;Secretos;1985-07-15;26;10;El Amor Acaba;260
José José;Secretos;1985-07-15;26;10;Voy a Llenarte Toda;325
José José;Secretos;1985-07-15;26;10;Cuando Vayas Conmigo;235
José José;Secretos;1985-07-15;26;10;Entre Ella y Tú;213
José José;Secretos;1985-07-15;26;10;Lágrimas;312
José José;Secretos;1985-07-15;26;10;He Renunciado a Ti - Remasterizado;235
José José;Secretos;1985-07-15;26;10;Quiero Perderme Contigo;296
José José;Secretos;1985-07-15;26;10;Esta Noche Te Voy a Estrenar;308
José José;Secretos;1985-07-15;26;10;A Esa;184
Juan Gabriel;Siempre En Mi Mente;1978-01-26;27;10;Siempre en Mi Mente;206
Juan Gabriel;Siempre En Mi Mente;1978-01-26;27;10;María José;209
Juan Gabriel;Siempre En Mi Mente;1978-01-26;27;10;Extraño Tus Ojos;350
Juan Gabriel;Siempre En Mi Mente;1978-01-26;27;10;Canta, Vive y Sueña;155
Juan Gabriel;Siempre En Mi Mente;1978-01-26;27;10;Lágrimas Tristes;184
Juan Gabriel;Siempre En Mi Mente;1978-01-26;27;10;Dénme un Ride;173
